api_full_name,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
jax.interpreters.mlir.ir.np.stack,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.stack/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.stack.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.stack.results.json
jax.interpreters.mlir.ir.np.take_along_axis,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.take_along_axis/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.take_along_axis.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.take_along_axis.results.json
jax.interpreters.mlir.ir.np.tile,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.tile/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.tile.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.tile.results.json
jax.interpreters.mlir.ir.np.transpose,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.transpose/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.transpose.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.transpose.results.json
jax.interpreters.mlir.ir.np.tri,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.tri/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.tri.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.tri.results.json
jax.interpreters.mlir.ir.np.tril,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.tril/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.tril.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.tril.results.json
jax.interpreters.mlir.ir.np.tril_indices,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.tril_indices/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.tril_indices.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.tril_indices.results.json
jax.interpreters.mlir.ir.np.trim_zeros,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.trim_zeros/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.trim_zeros.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.trim_zeros.results.json
jax.interpreters.mlir.ir.np.triu_indices,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.triu_indices/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.triu_indices.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.triu_indices.results.json
jax.interpreters.mlir.ir.np.unique_all,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.unique_all/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.unique_all.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.unique_all.results.json
jax.interpreters.mlir.ir.np.unique_counts,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.unique_counts/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.unique_counts.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.unique_counts.results.json
jax.interpreters.mlir.ir.np.unique_inverse,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.unique_inverse/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.unique_inverse.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.unique_inverse.results.json
jax.interpreters.mlir.ir.np.unique_values,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.unique_values/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.unique_values.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.unique_values.results.json
jax.interpreters.mlir.ir.np.unpackbits,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.unpackbits/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.unpackbits.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.unpackbits.results.json
jax.interpreters.mlir.ir.np.unstack,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.unstack/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.unstack.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.unstack.results.json
