api_full_name,reason,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
jax.lax.sqrt,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.stop_gradient,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
jax.lax.tan,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.tanh,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.nn.celu,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.nn.elu,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.nn.hard_sigmoid,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.nn.hard_silu,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.nn.hard_swish,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.nn.hard_tanh,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.nn.identity,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.nn.leaky_relu,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.nn.log_sigmoid,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.nn.mish,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.nn.relu,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.nn.relu6,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.nn.sigmoid,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.nn.silu,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.nn.soft_sign,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.nn.softmax,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.nn.softplus,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.nn.sparse_plus,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.nn.sparse_sigmoid,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.nn.swish,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.nn.tanh,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.absolute,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
jax.numpy.all,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.numpy.allclose,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
jax.numpy.any,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.numpy.append,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,2,6,,,,,,,,,,,,,
jax.numpy.arccos,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
jax.numpy.arccosh,selected_function_line_coverage_percent=50 < 60,selected_function,,,4,8,,,,,,,,,,,,,
jax.numpy.arcsin,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
jax.numpy.arcsinh,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.arctan,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.arctan2,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.arctanh,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
jax.numpy.argmax,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
jax.numpy.argmin,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
jax.numpy.array,selected_function_line_coverage_percent=34.3284 < 60,selected_function,,,23,67,,,,,,,,,,,,,
jax.numpy.array_equiv,selected_function_line_coverage_percent=50 < 60,selected_function,,,4,8,,,,,,,,,,,,,
jax.numpy.asarray,selected_function_line_coverage_percent=42.8571 < 60,selected_function,,,3,7,,,,,,,,,,,,,
jax.numpy.astype,selected_function_line_coverage_percent=46.1538 < 60,selected_function,,,6,13,,,,,,,,,,,,,
jax.numpy.bitwise_count,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
jax.numpy.block,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
