api_full_name,status,classification,rounds,repair_model_used,signature_found,param_count,required_param_count,supported_param_count,stage3_preview_ready,errors,warnings,stage3_preview_reasons,json_path
jax.lax.acosh,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.acosh.json
jax.lax.asin,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.asin.json
jax.lax.asinh,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.asinh.json
jax.lax.atan,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.atan.json
jax.lax.atanh,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.atanh.json
jax.lax.bitwise_not,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.bitwise_not.json
jax.lax.broadcast_in_dim,pass,pass,1,deterministic,True,4,3,4,True,,,,info2json/results/jax/jax.lax.broadcast_in_dim.json
jax.lax.cbrt,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.lax.cbrt.json
jax.lax.ceil,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.ceil.json
jax.lax.clz,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.clz.json
jax.lax.conj,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.conj.json
jax.lax.convert_element_type,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.lax.convert_element_type.json
jax.lax.cos,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.lax.cos.json
jax.lax.cosh,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.cosh.json
jax.lax.exp,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.lax.exp.json
jax.lax.exp2,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.lax.exp2.json
jax.lax.expm1,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.lax.expm1.json
jax.lax.floor,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.floor.json
jax.lax.full,pass,pass,1,deterministic,True,4,2,4,True,,,,info2json/results/jax/jax.lax.full.json
jax.lax.full_like,pass,pass,1,deterministic,True,5,2,5,True,,,,info2json/results/jax/jax.lax.full_like.json
jax.lax.integer_pow,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.lax.integer_pow.json
jax.lax.is_finite,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.is_finite.json
jax.lax.linalg.hessenberg,pass_with_warnings,pass_with_warnings,1,deterministic,True,1,1,1,False,,stage3 preview not ready: required param 'a' unresolved: unhandled chosen type: arraylike,required param 'a' unresolved: unhandled chosen type: arraylike,info2json/results/jax/jax.lax.linalg.hessenberg.json
jax.lax.linalg.householder_product,pass_with_warnings,pass_with_warnings,1,deterministic,True,2,2,2,False,,stage3 preview not ready: required param 'a' unresolved: unhandled chosen type: arraylike,required param 'a' unresolved: unhandled chosen type: arraylike,info2json/results/jax/jax.lax.linalg.householder_product.json
jax.lax.linalg.lu,pass_with_warnings,pass_with_warnings,1,deterministic,True,1,1,1,False,,stage3 preview not ready: required param 'x' unresolved: unhandled chosen type: arraylike,required param 'x' unresolved: unhandled chosen type: arraylike,info2json/results/jax/jax.lax.linalg.lu.json
jax.lax.linalg.ormqr,pass_with_warnings,pass_with_warnings,1,deterministic,True,5,3,5,False,,required param 'c' missing type | stage3 preview not ready: required param 'a' unresolved: unhandled chosen type: jax.linalg.qr | required param 'c' unresolved: unhandled chosen type: the matrix to multiply by q,required param 'a' unresolved: unhandled chosen type: jax.linalg.qr | required param 'c' unresolved: unhandled chosen type: the matrix to multiply by q,info2json/results/jax/jax.lax.linalg.ormqr.json
jax.lax.linalg.triangular_solve,pass_with_warnings,pass_with_warnings,1,deterministic,True,7,2,7,False,,required param 'a' missing type | required param 'b' missing type | stage3 preview not ready: required param 'a' unresolved: unhandled chosen type: a batch of matrices with shape ``[... | required param 'b' unresolved: unhandled chosen type: a batch of matrices with shape ``[...,required param 'a' unresolved: unhandled chosen type: a batch of matrices with shape ``[... | required param 'b' unresolved: unhandled chosen type: a batch of matrices with shape ``[...,info2json/results/jax/jax.lax.linalg.triangular_solve.json
jax.lax.log,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.lax.log.json
jax.lax.log1p,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.lax.log1p.json
jax.lax.logistic,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.lax.logistic.json
jax.lax.neg,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.neg.json
jax.lax.pad,pass,pass,1,deterministic,True,3,3,3,True,,,,info2json/results/jax/jax.lax.pad.json
jax.lax.padtype_to_pads,pass,pass,1,deterministic,True,4,4,4,True,,,,info2json/results/jax/jax.lax.padtype_to_pads.json
jax.lax.population_count,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.population_count.json
jax.lax.pow,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.lax.pow.json
jax.lax.ragged_dot,pass,pass,1,deterministic,True,6,3,6,True,,,,info2json/results/jax/jax.lax.ragged_dot.json
jax.lax.reduce_and,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.lax.reduce_and.json
jax.lax.reduce_max,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.lax.reduce_max.json
jax.lax.reduce_min,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.lax.reduce_min.json
jax.lax.reduce_or,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.lax.reduce_or.json
jax.lax.reduce_prod,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.lax.reduce_prod.json
jax.lax.reduce_sum,pass,pass,1,deterministic,True,3,2,3,True,,,,info2json/results/jax/jax.lax.reduce_sum.json
jax.lax.reduce_xor,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.lax.reduce_xor.json
jax.lax.reshape,pass,pass,1,deterministic,True,4,2,4,True,,,,info2json/results/jax/jax.lax.reshape.json
jax.lax.rsqrt,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.lax.rsqrt.json
jax.lax.select,pass,pass,1,deterministic,True,3,3,3,True,,,,info2json/results/jax/jax.lax.select.json
jax.lax.select_n,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.select_n.json
jax.lax.sign,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.sign.json
jax.lax.sin,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.lax.sin.json
jax.lax.sinh,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.sinh.json
jax.lax.slice,pass,pass,1,deterministic,True,4,3,4,True,,,,info2json/results/jax/jax.lax.slice.json
jax.lax.sqrt,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.lax.sqrt.json
jax.lax.stop_gradient,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.stop_gradient.json
jax.lax.tan,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.lax.tan.json
jax.lax.tanh,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.lax.tanh.json
jax.lax.tile,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.lax.tile.json
jax.make_array_from_single_device_arrays,pass,pass,1,deterministic,True,4,3,4,True,,,,info2json/results/jax/jax.make_array_from_single_device_arrays.json
jax.nn.celu,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.nn.celu.json
jax.nn.elu,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.nn.elu.json
jax.nn.gelu,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.nn.gelu.json
jax.nn.glu,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.nn.glu.json
jax.nn.hard_sigmoid,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.nn.hard_sigmoid.json
jax.nn.hard_silu,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.nn.hard_silu.json
jax.nn.hard_swish,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.nn.hard_swish.json
